Customer_ID,Order_ID,Order_Date,Sales,Order_Sequence_Number
AB-10165,CA-2017-144932,2017-04-14,13.87,10
AB-10165,CA-2017-144932,2017-04-14,14.59,11
AB-10165,CA-2017-145737,2017-09-15,163.96,12
AB-10165,CA-2017-131212,2017-12-05,14.98,13
AB-10165,CA-2017-131212,2017-12-05,24.82,14
AB-10255,CA-2014-122679,2014-07-22,19.68,1
AB-10255,CA-2015-142055,2015-05-08,37.94,2
AB-10255,CA-2015-110093,2015-12-03,36.78,3
AB-10255,US-2016-158708,2016-06-26,13.62,4
AB-10255,CA-2016-151323,2016-10-23,17.05,5
AB-10255,CA-2016-151155,2016-12-20,15.42,6
AB-10255,CA-2016-151155,2016-12-20,18.92,7
AB-10255,CA-2017-127705,2017-06-02,27.44,8
AB-10255,CA-2017-127705,2017-06-02,2.97,9
AB-10255,CA-2017-155873,2017-06-16,192.16,10
AB-10255,CA-2017-155873,2017-06-16,19.44,11
AB-10255,CA-2017-155873,2017-06-16,16.68,12
AB-10255,CA-2017-126662,2017-07-17,479.98,13
AB-10600,CA-2014-115336,2014-11-18,14.48,1
AB-10600,CA-2015-111234,2015-02-18,9.24,2
AB-10600,CA-2015-158323,2015-11-30,17.09,3
AB-10600,US-2017-155425,2017-11-10,201.58,4
AB-10600,US-2017-155425,2017-11-10,95.99,5
AB-10600,US-2017-155425,2017-11-10,38.39,6
AB-10600,US-2017-155425,2017-11-10,899.14,7
AB-10600,US-2017-155425,2017-11-10,239.95,8
AC-10420,CA-2014-129924,2014-07-12,7.71,1
AC-10420,CA-2014-129924,2014-07-12,698.35,2
AC-10420,CA-2016-144400,2016-02-23,57.58,3
AC-10420,US-2017-158218,2017-05-12,127.92,4
AC-10450,US-2014-167262,2014-10-31,742.34,1
AC-10450,US-2015-106495,2015-06-15,11.67,2
AC-10450,CA-2015-164441,2015-11-08,17.94,3
AC-10450,CA-2015-164441,2015-11-08,52.27,4
AC-10450,CA-2016-116232,2016-09-22,7.51,5
AC-10450,CA-2016-116232,2016-09-22,16.56,6
AC-10450,CA-2016-163573,2016-11-24,1219.96,7
AC-10450,CA-2017-141789,2017-10-03,1793.98,8
AC-10450,CA-2017-158729,2017-12-19,1665.62,9
AC-10615,CA-2015-100734,2015-09-15,3.58,1
AC-10615,CA-2015-100734,2015-09-15,147.18,2
AC-10615,CA-2017-136007,2017-02-23,71.96,3
AC-10615,CA-2017-136007,2017-02-23,8.40,4
AC-10615,CA-2017-101637,2017-03-24,12.77,5
AC-10615,CA-2017-157987,2017-09-02,4.92,6
AC-10615,CA-2017-157987,2017-09-02,238.00,7
AC-10615,CA-2017-157987,2017-09-02,167.97,8
AC-10615,CA-2017-157987,2017-09-02,17.12,9
AC-10615,CA-2017-157987,2017-09-02,254.53,10
AC-10615,CA-2017-157987,2017-09-02,23.10,11
AC-10615,CA-2017-157987,2017-09-02,11.54,12
AC-10615,CA-2017-157987,2017-09-02,12.98,13
AC-10615,CA-2017-157987,2017-09-02,26.43,14
AC-10615,CA-2017-157987,2017-09-02,197.97,15
AC-10615,CA-2017-157987,2017-09-02,18.90,16
AC-10615,CA-2017-157987,2017-09-02,1282.41,17
AC-10660,US-2014-122021,2014-10-15,183.37,1
AC-10660,US-2014-122021,2014-10-15,7.97,2
AC-10660,CA-2016-134544,2016-03-17,84.78,3
AC-10660,CA-2016-161928,2016-06-27,201.58,4
AC-10660,CA-2016-158617,2016-09-22,35.88,5
AC-10660,CA-2017-135650,2017-03-23,143.73,6
AD-10180,US-2014-152030,2014-12-26,600.56,1
AD-10180,CA-2015-120439,2015-06-14,51.07,2
AD-10180,CA-2015-124268,2015-07-04,15.48,3
AD-10180,CA-2017-127432,2017-01-22,51.45,4
AD-10180,CA-2017-127432,2017-01-22,11.96,5
AD-10180,CA-2017-127432,2017-01-22,1126.02,6
AD-10180,CA-2017-127432,2017-01-22,2999.95,7
AD-10180,US-2017-136784,2017-04-30,163.96,8
AD-10180,CA-2017-160416,2017-11-13,163.96,9
AD-10180,CA-2017-143245,2017-12-01,19.44,10
AD-10180,CA-2017-143245,2017-12-01,897.15,11
AF-10870,CA-2015-168634,2015-12-06,7.78,1
AF-10870,CA-2016-126270,2016-04-23,71.97,2
AF-10870,CA-2016-126270,2016-04-23,18.09,3
AF-10870,CA-2016-139234,2016-05-06,26.18,4
AF-10870,CA-2016-139234,2016-05-06,3.21,5
AF-10870,CA-2016-146934,2016-05-22,257.98,6
AF-10870,CA-2016-146934,2016-05-22,26.88,7
AF-10870,CA-2016-146934,2016-05-22,95.10,8
AF-10870,CA-2016-146934,2016-05-22,662.84,9
AF-10870,CA-2016-146934,2016-05-22,174.29,10
AF-10870,CA-2016-146934,2016-05-22,345.00,11
AF-10870,CA-2017-125269,2017-04-24,10.43,12
AF-10870,CA-2017-125269,2017-04-24,72.78,13
AF-10870,CA-2017-167871,2017-11-18,44.38,14
AF-10870,CA-2017-167871,2017-11-18,2.94,15
AF-10870,US-2017-139969,2017-11-19,233.06,16
AF-10885,CA-2014-114181,2014-05-10,22.32,1
AF-10885,CA-2014-114181,2014-05-10,349.97,2
AF-10885,CA-2014-103702,2014-09-12,63.92,3
AF-10885,CA-2015-114300,2015-10-13,287.94,4
AF-10885,CA-2015-114300,2015-10-13,83.72,5
AF-10885,CA-2016-115588,2016-11-10,14.72,6
AF-10885,CA-2016-115588,2016-11-10,38.98,7
AG-10270,CA-2014-167164,2014-05-13,55.50,1
AG-10270,CA-2014-103058,2014-07-23,99.98,2
AG-10270,CA-2015-153738,2015-09-20,37.68,3
AG-10270,CA-2016-105732,2016-09-13,373.08,4
AG-10270,CA-2016-105732,2016-09-13,1336.44,5
AG-10270,CA-2016-105732,2016-09-13,29.97,6
AG-10270,CA-2016-105732,2016-09-13,40.74,7
AG-10270,CA-2016-105732,2016-09-13,14.40,8
AG-10270,CA-2016-105732,2016-09-13,149.95,9
AG-10270,CA-2016-105732,2016-09-13,16.90,10
AG-10270,CA-2016-105732,2016-09-13,17.61,11
AG-10270,CA-2016-105732,2016-09-13,378.00,12
AG-10270,CA-2017-139416,2017-03-27,15.01,13
AG-10300,CA-2014-147298,2014-04-26,230.28,1
AG-10300,CA-2015-166800,2015-11-19,31.08,2
AG-10300,CA-2016-143749,2016-12-05,81.94,3
AG-10300,CA-2017-161823,2017-09-03,5.96,4
AG-10330,CA-2016-104150,2016-08-03,81.54,1
AG-10330,CA-2016-104150,2016-08-03,167.28,2
AG-10330,CA-2017-107748,2017-12-10,95.84,3
AG-10330,CA-2017-107748,2017-12-10,12.96,4
AG-10330,CA-2017-108287,2017-12-18,12.67,5
AG-10330,CA-2017-142909,2017-12-22,182.55,6
AG-10330,CA-2017-104927,2017-12-22,25.92,7
AG-10330,CA-2017-104927,2017-12-22,75.88,8
AG-10330,CA-2017-104927,2017-12-22,6.33,9
AG-10390,CA-2014-158470,2014-04-19,58.05,1
AG-10390,CA-2014-158470,2014-04-19,71.28,2
AG-10390,CA-2014-125171,2014-09-03,14.40,3
AG-10390,CA-2016-109820,2016-11-20,15.70,4
AG-10390,CA-2016-109820,2016-11-20,2.63,5
AG-10390,CA-2016-109820,2016-11-20,14.43,6
AG-10390,CA-2016-136483,2016-12-01,4.70,7
AG-10390,CA-2017-107244,2017-09-07,19.76,8
AG-10495,CA-2015-104241,2015-01-04,192.22,1
AG-10495,CA-2015-162201,2015-06-08,18.26,2
AG-10495,CA-2015-162201,2015-06-08,42.24,3
AG-10495,CA-2015-162201,2015-06-08,9.00,4
AG-10495,CA-2015-162201,2015-06-08,4.45,5
AG-10495,CA-2015-162201,2015-06-08,173.21,6
AG-10495,CA-2015-162201,2015-06-08,516.96,7
AG-10495,CA-2015-162201,2015-06-08,173.49,8
AG-10495,CA-2015-142692,2015-10-23,3.59,9
AG-10495,CA-2015-118738,2015-10-24,15.55,10
AG-10495,CA-2015-118738,2015-10-24,10.37,11
AG-10495,CA-2015-118738,2015-10-24,347.36,12
AG-10495,CA-2015-156146,2015-10-26,68.72,13
AG-10495,CA-2015-156146,2015-10-26,105.58,14
AG-10495,CA-2015-111948,2015-11-11,418.32,15
AG-10495,CA-2015-111948,2015-11-11,123.86,16
AG-10495,CA-2016-168921,2016-10-20,19.30,17
AG-10495,CA-2017-132976,2017-10-13,59.71,18
AG-10495,CA-2017-132976,2017-10-13,24.84,19
AG-10495,CA-2017-132976,2017-10-13,11.65,20
AG-10525,CA-2014-167850,2014-08-09,178.38,1
AG-10525,CA-2014-167850,2014-08-09,15.55,2
AG-10525,CA-2014-158281,2014-09-02,559.71,3
AG-10525,CA-2015-169572,2015-09-06,46.62,4
AG-10525,CA-2015-164084,2015-09-07,7.24,5
AG-10525,CA-2015-164084,2015-09-07,481.18,6
AG-10525,CA-2015-164084,2015-09-07,90.00,7
AG-10525,CA-2015-164084,2015-09-07,70.26,8
AG-10675,CA-2015-137512,2015-05-07,244.01,1
AG-10675,CA-2015-137512,2015-05-07,15.94,2
AG-10675,CA-2016-133368,2016-01-14,315.78,3
AG-10675,CA-2016-133368,2016-01-14,89.57,4
AG-10675,CA-2016-108987,2016-09-08,57.58,5
AG-10675,CA-2016-108987,2016-09-08,35.95,6
AG-10675,CA-2016-108987,2016-09-08,2396.27,7
AG-10675,CA-2016-108987,2016-09-08,131.14,8
AG-10675,US-2017-146822,2017-06-09,49.12,9
AG-10675,CA-2017-101483,2017-07-29,34.85,10
AG-10675,CA-2017-101483,2017-07-29,22.00,11
AG-10675,CA-2017-101483,2017-07-29,4.37,12
AG-10675,US-2017-104094,2017-09-07,13.48,13
AG-10675,CA-2017-163335,2017-09-24,38.71,14
AG-10675,CA-2017-163335,2017-09-24,40.29,15
AG-10765,CA-2015-110947,2015-06-09,113.10,1
AG-10765,CA-2015-113222,2015-11-09,10.74,2
AG-10765,CA-2017-126123,2017-10-14,13.46,3
AG-10900,US-2014-119137,2014-07-23,8.16,1
AG-10900,US-2014-119137,2014-07-23,479.04,2
AG-10900,US-2014-119137,2014-07-23,1023.94,3
AG-10900,US-2014-119137,2014-07-23,9.24,4
AG-10900,CA-2015-130785,2015-09-05,28.75,5
AG-10900,CA-2015-130785,2015-09-05,411.33,6
AG-10900,CA-2015-130785,2015-09-05,293.20,7
AG-10900,CA-2015-136728,2015-09-13,170.07,8
AG-10900,CA-2015-136728,2015-09-13,7.82,9
AG-10900,CA-2015-115399,2015-12-19,6.91,10
AG-10900,CA-2015-148376,2015-12-27,106.96,11
AG-10900,CA-2015-148376,2015-12-27,21.56,12
AG-10900,CA-2016-158435,2016-05-17,65.17,13
AG-10900,CA-2016-158435,2016-05-17,173.24,14
AG-10900,CA-2016-158435,2016-05-17,14.62,15
AG-10900,CA-2016-160108,2016-12-08,680.01,16
AG-10900,CA-2016-160108,2016-12-08,405.86,17
AG-10900,CA-2017-110198,2017-05-01,314.35,18
AG-10900,CA-2017-110198,2017-05-01,4.61,19
AG-10900,CA-2017-161557,2017-09-03,108.40,20
AG-10900,CA-2017-116939,2017-09-25,177.55,21
AH-10030,CA-2014-122070,2014-04-22,9.91,1
AH-10030,CA-2014-122070,2014-04-22,247.84,2
AH-10030,CA-2014-113768,2014-05-13,279.46,3
AH-10030,CA-2014-113768,2014-05-13,8.00,4
AH-10030,US-2014-158400,2014-10-25,49.41,5
AH-10030,CA-2014-157644,2014-12-31,18.90,6
AH-10030,CA-2014-157644,2014-12-31,34.77,7
AH-10030,CA-2015-130113,2015-12-27,323.10,8
AH-10030,CA-2015-130113,2015-12-27,668.16,9
AH-10030,CA-2016-162747,2016-03-20,86.45,10
AH-10030,CA-2017-164000,2017-12-18,18.70,11
AH-10075,CA-2014-160066,2014-11-16,5.22,1
AH-10075,CA-2015-161795,2015-12-21,3.01,2
AH-10075,CA-2016-144015,2016-06-26,17.90,3
AH-10075,CA-2016-144015,2016-06-26,12.48,4
AH-10075,CA-2016-144015,2016-06-26,231.72,5
AH-10075,CA-2016-149797,2016-09-15,841.57,6
AH-10075,CA-2016-147109,2016-12-17,165.60,7
AH-10075,CA-2016-147109,2016-12-17,51.84,8
AH-10075,CA-2017-118857,2017-04-15,196.45,9
AH-10075,CA-2017-145702,2017-05-19,314.35,10
AH-10075,CA-2017-145702,2017-05-19,27.89,11
AH-10075,CA-2017-112004,2017-09-25,8.60,12
AH-10075,CA-2017-112004,2017-09-25,190.90,13
AH-10075,CA-2017-125451,2017-10-23,35.00,14
AH-10075,CA-2017-125451,2017-10-23,240.74,15
AH-10075,CA-2017-125451,2017-10-23,210.68,16
AH-10075,CA-2017-125451,2017-10-23,637.90,17
AH-10075,CA-2017-125451,2017-10-23,43.44,18
AH-10075,CA-2017-125451,2017-10-23,2.22,19
AH-10075,CA-2017-165029,2017-11-26,12.84,20
AH-10120,CA-2014-123295,2014-07-18,259.14,1
AH-10120,CA-2016-135594,2016-06-30,50.12,2
AH-10120,CA-2016-145261,2016-12-18,377.45,3
AH-10120,CA-2016-145261,2016-12-18,15.94,4
AH-10120,CA-2016-145261,2016-12-18,18.69,5
AH-10120,CA-2016-145261,2016-12-18,11.65,6
AH-10120,CA-2016-145261,2016-12-18,28.68,7
AH-10120,CA-2016-145261,2016-12-18,112.78,8
AH-10120,CA-2016-145261,2016-12-18,45.24,9
AH-10120,CA-2017-150987,2017-04-08,244.55,10
AH-10120,CA-2017-150987,2017-04-08,195.76,11
AH-10120,CA-2017-107958,2017-07-02,5.23,12
AH-10120,CA-2017-107958,2017-07-02,163.96,13
AH-10120,CA-2017-151211,2017-08-17,102.93,14
AH-10120,CA-2017-151211,2017-08-17,98.16,15
AH-10120,CA-2017-131632,2017-10-31,5.25,16
AH-10195,CA-2015-125185,2015-03-05,99.37,1
AH-10195,CA-2015-125185,2015-03-05,33.57,2
AH-10195,CA-2016-112697,2016-12-18,961.48,3
AH-10195,CA-2016-112697,2016-12-18,194.53,4
AH-10195,CA-2016-112697,2016-12-18,254.06,5
AH-10195,CA-2017-123043,2017-08-24,24.67,6
AH-10195,CA-2017-123043,2017-08-24,3.74,7
AH-10195,CA-2017-154732,2017-11-05,16.03,8
AH-10210,CA-2014-153983,2014-11-29,30.40,1
AH-10210,CA-2014-153983,2014-11-29,575.92,2
AH-10210,CA-2015-155040,2015-11-10,79.90,3
AH-10210,CA-2015-165050,2015-12-07,773.94,4
AH-10210,CA-2015-165050,2015-12-07,6.69,5
AH-10210,CA-2015-165050,2015-12-07,21.36,6
AH-10210,CA-2016-166485,2016-02-20,16.50,7
AH-10210,CA-2017-104080,2017-03-08,3.36,8
AH-10210,CA-2017-104080,2017-03-08,171.20,9
AH-10210,CA-2017-146983,2017-09-02,1577.94,10
AH-10210,US-2017-148831,2017-10-13,348.56,11
AH-10210,CA-2017-166919,2017-11-23,195.96,12
AH-10210,CA-2017-147956,2017-12-24,1003.62,13
AH-10465,CA-2015-141243,2015-01-03,398.40,1
AH-10465,CA-2015-141243,2015-01-03,7.06,2
AH-10465,CA-2015-141243,2015-01-03,1352.40,3
AH-10465,CA-2016-126165,2016-05-05,71.09,4
AH-10465,CA-2017-145275,2017-04-02,14.94,5
AH-10465,CA-2017-115546,2017-05-14,22.58,6
AH-10465,CA-2017-115546,2017-05-14,539.97,7
AH-10585,CA-2014-162278,2014-10-26,63.92,1
AH-10585,CA-2014-162278,2014-10-26,383.96,2
AH-10585,CA-2016-160479,2016-09-15,35.40,3
AH-10585,US-2017-152492,2017-07-06,239.24,4
AH-10585,CA-2017-109715,2017-12-09,15.98,5
AH-10690,CA-2014-160276,2014-04-02,177.68,1
AH-10690,CA-2015-110548,2015-05-04,946.34,2
AH-10690,CA-2015-166604,2015-05-15,17.94,3
AH-10690,CA-2015-112214,2015-08-05,14.76,4
AH-10690,CA-2015-112214,2015-08-05,1.36,5
AH-10690,CA-2015-112214,2015-08-05,23.04,6
AH-10690,CA-2015-112214,2015-08-05,33.49,7
AH-10690,CA-2015-113628,2015-11-12,11.76,8
AH-10690,CA-2015-113628,2015-11-12,5.24,9
AH-10690,CA-2015-113628,2015-11-12,4.66,10
AH-10690,CA-2015-113628,2015-11-12,523.92,11
AH-10690,CA-2015-113628,2015-11-12,100.79,12
AH-10690,CA-2015-113628,2015-11-12,146.14,13
AH-10690,CA-2015-139780,2015-12-31,116.40,14
AH-10690,CA-2016-138282,2016-05-19,87.84,15
AH-10690,CA-2016-113831,2016-05-30,2275.50,16
AH-10690,CA-2016-113831,2016-05-30,62.10,17
AH-10690,CA-2016-113831,2016-05-30,1979.70,18
AH-10690,CA-2016-144148,2016-07-31,863.13,19
AH-10690,CA-2016-158869,2016-08-06,70.88,20
AH-10690,CA-2016-145709,2016-10-04,52.68,21
AH-10690,CA-2016-145709,2016-10-04,11.57,22
AH-10690,CA-2016-148740,2016-11-15,361.38,23
AI-10855,CA-2014-131387,2014-04-28,1679.96,1
AI-10855,CA-2014-159709,2014-05-10,43.60,2
AI-10855,CA-2014-159709,2014-05-10,158.13,3
AI-10855,CA-2014-102330,2014-12-29,319.97,4
AI-10855,CA-2014-102330,2014-12-29,88.80,5
AI-10855,CA-2015-167479,2015-03-14,19.44,6
AI-10855,CA-2015-158918,2015-12-20,17.12,7
AI-10855,CA-2016-158694,2016-11-10,67.71,8
AI-10855,CA-2016-158694,2016-11-10,14.70,9
AI-10855,CA-2016-158694,2016-11-10,5.18,10
AI-10855,CA-2016-158694,2016-11-10,720.76,11
AI-10855,CA-2016-158694,2016-11-10,129.92,12
AI-10855,CA-2016-158694,2016-11-10,61.40,13
AI-10855,CA-2016-158694,2016-11-10,467.46,14
AI-10855,CA-2017-107552,2017-05-05,6.68,15
AI-10855,CA-2017-155929,2017-09-09,6.37,16
AI-10855,US-2017-160759,2017-12-11,63.69,17
AI-10855,CA-2017-116855,2017-12-17,504.90,18
AJ-10780,CA-2014-149020,2014-01-10,51.94,1
AJ-10780,CA-2014-149020,2014-01-10,2.89,2
AJ-10780,CA-2014-108609,2014-10-31,1421.66,3
AJ-10780,CA-2014-141313,2014-12-28,141.76,4
AJ-10780,CA-2014-141313,2014-12-28,704.25,5
AJ-10780,CA-2014-141313,2014-12-28,1737.18,6
AJ-10780,CA-2015-165554,2015-05-18,10.86,7
AJ-10780,CA-2016-123617,2016-11-28,7.43,8
AJ-10780,US-2017-133361,2017-05-14,14.70,9
AJ-10780,US-2017-133361,2017-05-14,3.76,10
AJ-10780,US-2017-133361,2017-05-14,261.96,11
AJ-10780,US-2017-133361,2017-05-14,74.00,12
AJ-10780,US-2017-133361,2017-05-14,89.97,13
AJ-10780,US-2017-133361,2017-05-14,37.20,14
AJ-10780,CA-2017-111577,2017-10-16,307.78,15
AJ-10795,CA-2014-106810,2014-05-14,310.88,1
AJ-10795,CA-2014-110786,2014-12-29,767.95,2
AJ-10795,CA-2014-110786,2014-12-29,21.12,3
AJ-10795,CA-2014-110786,2014-12-29,24.90,4
AJ-10795,CA-2014-110786,2014-12-29,70.56,5
AJ-10795,CA-2014-110786,2014-12-29,274.77,6
AJ-10795,CA-2014-110786,2014-12-29,191.98,7
AJ-10795,CA-2014-110786,2014-12-29,14.35,8
AJ-10795,CA-2016-134474,2016-01-05,191.47,9
AJ-10795,CA-2016-134474,2016-01-05,5.25,10
AJ-10795,CA-2016-134474,2016-01-05,59.18,11
AJ-10795,CA-2016-123946,2016-09-12,67.90,12
AJ-10795,CA-2016-123946,2016-09-12,1059.12,13
AJ-10795,CA-2016-123946,2016-09-12,11.34,14
AJ-10795,CA-2016-123946,2016-09-12,20.70,15
AJ-10795,CA-2016-123015,2016-12-26,4.99,16
AJ-10795,CA-2017-142342,2017-07-17,32.40,17
AJ-10795,CA-2017-142342,2017-07-17,57.90,18
AJ-10795,CA-2017-142342,2017-07-17,10.56,19
AJ-10795,CA-2017-142342,2017-07-17,1194.17,20
AJ-10945,CA-2014-155852,2014-03-03,19.46,1
AJ-10945,US-2015-132836,2015-06-01,28.91,2
AJ-10945,US-2015-132836,2015-06-01,299.98,3
AJ-10945,US-2015-132836,2015-06-01,403.68,4
AJ-10945,US-2015-132836,2015-06-01,41.90,5
AJ-10945,CA-2015-164497,2015-11-28,45.28,6
AJ-10945,CA-2015-126347,2015-12-14,50.00,7
AJ-10945,CA-2016-115378,2016-11-18,301.96,8
AJ-10945,CA-2017-133004,2017-08-31,638.73,9
AJ-10945,CA-2017-137421,2017-10-06,9.34,10
AJ-10960,CA-2014-113362,2014-09-14,449.15,1
AJ-10960,CA-2014-113362,2014-09-14,11.07,2
AJ-10960,CA-2014-131800,2014-12-30,122.94,3
AJ-10960,CA-2014-131800,2014-12-30,35.45,4
AJ-10960,CA-2017-123246,2017-10-17,10.64,5
AM-10360,CA-2014-132542,2014-10-06,15.36,1
AM-10360,US-2015-107944,2015-03-23,239.97,2
AM-10360,US-2015-107944,2015-03-23,192.72,3
AM-10360,CA-2016-157000,2016-07-16,20.02,4
AM-10360,CA-2016-157000,2016-07-16,37.22,5
AM-10360,CA-2017-161340,2017-05-28,13.87,6
AM-10360,CA-2017-161340,2017-05-28,115.96,7
AM-10360,CA-2017-109701,2017-12-02,10.08,8
AM-10360,CA-2017-109701,2017-12-02,79.47,9
AM-10360,CA-2017-109701,2017-12-02,9.02,10
AM-10360,CA-2017-109701,2017-12-02,69.46,11
AM-10360,CA-2017-109701,2017-12-02,10.86,12
AM-10705,CA-2014-145387,2014-10-31,14.76,1
AM-10705,CA-2014-145387,2014-10-31,34.08,2
